Дистанция: 0; Катет: 0,000; Высота: 0,000
Рад: 0,017;Мду: 16,667;Град: 1,000.
Дистанция: 1; Катет: 0,017; Высота: 0,000
Рад: 0,017;Мду: 16,667;Град: 1,000.
Дистанция: 1; Катет: 0,017; Высота: 1,000
Рад: 0,017;Мду: 16,667;Град: 1,000.
Дистанция: 10; Катет: 0,175; Высота: 1,000
Рад: 0,017;Мду: 16,667;Град: 1,000.
Дистанция: 10; Катет: 1,736; Высота: 10,000
Рад: 0,175;Мду: 166,667;Град: 10,000.
Дистанция: 100; Катет: 1,745; Высота: 10,000
Рад: 0,017;Мду: 16,667;Град: 1,000.
Дистанция: 100; Катет: 98,481; Высота: 100,000
Рад: 1,745;Мду: 1 666,667;Град: 100,000.
Дистанция: 100; Катет: 98,481; Высота: 100,000
Рад: 1,745;Мду: 1 666,667;Град: 100,000.
Дистанция: 100; Катет: 1,745; Высота: 100,000
Рад: 0,017;Мду: 16,667;Град: 1,000.
Дистанция: 100; Катет: 98,481; Высота: 100,000
Рад: 1,745;Мду: 1 666,667;Град: 100,000.
Дистанция: 100,5; Катет: 1,754; Высота: 100,000
Рад: 0,017;Мду: 16,667;Град: 1,000.
Дистанция: 100,5; Катет: 98,817; Высота: 100,500
Рад: 1,754;Мду: 1 675,000;Град: 100,500.
Дистанция: 100,5; Катет: 8,759; Высота: 5,000
Рад: 0,087;Мду: 83,333;Град: 5,000.
Дистанция: 100,5; Катет: 83,318; Высота: 56,000
Рад: 0,977;Мду: 933,333;Град: 56,000.
